Candy Shop,3:45,50 Cent
In Da Club,3:13,50 Cent
What Up Gangsta,2:58,50 Cent
In The Night Of Wilderness,5:26,Blackmill
Wicked,2:53,Future
Cudi Montage,3:16,KIDS SEE GHOSTS
Cellular,2:58,King Krule
Pull Up,3:35,Playboi Cart
The Birthday Party,4:45,The 1975
One,4:36,U2
